logf(-1) = nan
  errno: 33
  FE_INVALID: YES
  FE_DIVBYZERO: NO

logf(0) = -inf
  errno: 34
  FE_INVALID: NO
  FE_DIVBYZERO: YES

logf(inf) = inf
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(nan) = nan
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(1) = 0
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

Interval [16.000000000, 32.000000000] | Max ULP Error: 0.769037783
Interval [32.000000000, 64.000000000] | Max ULP Error: 0.748991549
Interval [64.000000000, 128.000000000] | Max ULP Error: 0.629098117
Interval [128.000000000, 256.000000000] | Max ULP Error: 0.651567459
Interval [256.000000000, 512.000000000] | Max ULP Error: 0.637086809
Interval [512.000000000, 1024.000000000] | Max ULP Error: 0.659556150
Interval [1024.000000000, 2048.000000000] | Max ULP Error: 0.645075500
Interval [2048.000000000, 4096.000000000] | Max ULP Error: 0.596193194
Interval [4096.000000000, 8192.000000000] | Max ULP Error: 0.579242349
Interval [8192.000000000, 16384.000000000] | Max ULP Error: 1.081239581
Interval [16384.000000000, 32768.000000000] | Max ULP Error: 0.584995389
Interval [32768.000000000, 65536.000000000] | Max ULP Error: 1.031903625
Interval [65536.000000000, 131072.000000000] | Max ULP Error: 0.587231040
Interval [131072.000000000, 262144.000000000] | Max ULP Error: 1.089228272
Interval [262144.000000000, 524288.000000000] | Max ULP Error: 0.592984080
Interval [524288.000000000, 1048576.000000000] | Max ULP Error: 1.023914933
Interval [1048576.000000000, 2097152.000000000] | Max ULP Error: 0.595219791
Interval [2097152.000000000, 4194304.000000000] | Max ULP Error: 1.097216964
Interval [4194304.000000000, 8388608.000000000] | Max ULP Error: 0.600972772
Interval [8388608.000000000, 16777216.000000000] | Max ULP Error: 0.953054309
Interval [16777216.000000000, 33554432.000000000] | Max ULP Error: 0.545042515
Interval [33554432.000000000, 67108864.000000000] | Max ULP Error: 0.800737441
Interval [67108864.000000000, 134217728.000000000] | Max ULP Error: 1.047039747
Interval [134217728.000000000, 268435456.000000000] | Max ULP Error: 0.750717700
Interval [268435456.000000000, 536870912.000000000] | Max ULP Error: 0.553733230
Interval [536870912.000000000, 1073741824.000000000] | Max ULP Error: 0.800035477
Interval [1073741824.000000000, 2147483648.000000000] | Max ULP Error: 0.997721970
Interval [2147483648.000000000, 4294967296.000000000] | Max ULP Error: 0.742808998
Interval [4294967296.000000000, 8589934592.000000000] | Max ULP Error: 0.553031206
Interval [8589934592.000000000, 17179869184.000000000] | Max ULP Error: 0.808726132
Interval [17179869184.000000000, 34359738368.000000000] | Max ULP Error: 1.055028439
Interval [34359738368.000000000, 68719476736.000000000] | Max ULP Error: 0.742729008
Interval [68719476736.000000000, 137438953472.000000000] | Max ULP Error: 0.561721921
Interval [137438953472.000000000, 274877906944.000000000] | Max ULP Error: 0.808024168
Interval [274877906944.000000000, 549755813888.000000000] | Max ULP Error: 0.989733279
Interval [549755813888.000000000, 1099511627776.000000000] | Max ULP Error: 0.734820306
Interval [1099511627776.000000000, 2199023255552.000000000] | Max ULP Error: 0.561019897
Interval [2199023255552.000000000, 4398046511104.000000000] | Max ULP Error: 0.816714823
Interval [4398046511104.000000000, 8796093022208.000000000] | Max ULP Error: 1.063017130
Interval [8796093022208.000000000, 17592186044416.000000000] | Max ULP Error: 0.734740317
