x,logf,std::log,ulp_error
1.21076e-38,-87.307,-87.307,0.734142
1.21664e-38,-87.3021,-87.3021,0.466031
1.22251e-38,-87.2973,-87.2973,0.138962
1.22839e-38,-87.2925,-87.2925,0.782278
1.23427e-38,-87.2878,-87.2878,0.424901
1.24015e-38,-87.283,-87.283,0.0953417
1.24602e-38,-87.2783,-87.2783,0.821706
1.2519e-38,-87.2736,-87.2736,0.646373
1.25778e-38,-87.2689,-87.2689,0.567253
1.26366e-38,-87.2642,-87.2642,0.626024
1.26953e-38,-87.2596,-87.2596,0.150752
1.27541e-38,-87.255,-87.255,0.263119
1.28129e-38,-87.2504,-87.2504,0.106529
1.28717e-38,-87.2458,-87.2458,0.234218
1.29304e-38,-87.2412,-87.2412,0.0948163
1.29892e-38,-87.2367,-87.2367,0.336463
1.3048e-38,-87.2322,-87.2322,0.0840733
1.31068e-38,-87.2277,-87.2277,0.172137
1.31655e-38,-87.2232,-87.2232,0.375546
1.32243e-38,-87.2188,-87.2188,0.464505
1.32831e-38,-87.2143,-87.2143,0.715459
1.33419e-38,-87.2099,-87.2099,0.400177
1.34006e-38,-87.2055,-87.2055,0.541221
1.34594e-38,-87.2011,-87.2011,0.160854
1.35182e-38,-87.1968,-87.1968,0.281049
1.3577e-38,-87.1924,-87.1924,0.0765059
1.36357e-38,-87.1881,-87.1881,1.10959
1.36945e-38,-87.1838,-87.1838,0.139519
1.37533e-38,-87.1795,-87.1795,0.197012
1.38121e-38,-87.1753,-87.1753,0.139778
1.38708e-38,-87.171,-87.171,0.277649
1.39296e-38,-87.1668,-87.1668,0.0749229
1.39884e-38,-87.1626,-87.1626,0.179371
1.40472e-38,-87.1584,-87.1584,0.375944
1.41059e-38,-87.1542,-87.1542,0.662756
1.41647e-38,-87.1501,-87.1501,0.660922
1.42235e-38,-87.1459,-87.1459,0.402362
1.42823e-38,-87.1418,-87.1418,0.0943103
1.4341e-38,-87.1377,-87.1377,1.18929
1.43998e-38,-87.1336,-87.1336,0.271311
1.44586e-38,-87.1295,-87.1295,0.169698
1.45174e-38,-87.1255,-87.1255,0.902164
1.45761e-38,-87.1214,-87.1214,0.486213
1.46349e-38,-87.1174,-87.1174,0.939135
1.46937e-38,-87.1134,-87.1134,0.278013
1.47525e-38,-87.1094,-87.1094,0.519727
1.48112e-38,-87.1054,-87.1054,0.319046
1.487e-38,-87.1015,-87.1015,0.778172
1.49288e-38,-87.0975,-87.0975,0.827665
1.49876e-38,-87.0936,-87.0936,0.154473
1.50463e-38,-87.0897,-87.0897,0.84766
1.51051e-38,-87.0858,-87.0858,0.849782
1.51639e-38,-87.0819,-87.0819,0.867426
1.52227e-38,-87.078,-87.078,0.0840532
1.52814e-38,-87.0742,-87.0742,1.01052
1.53402e-38,-87.0704,-87.0703,1.17812
1.5399e-38,-87.0665,-87.0665,0.397659
1.54578e-38,-87.0627,-87.0627,0.731596
1.55165e-38,-87.0589,-87.0589,1.14681
1.55753e-38,-87.0551,-87.0551,0.705056
1.56341e-38,-87.0514,-87.0514,0.385001
1.56929e-38,-87.0476,-87.0476,0.212486
1.57516e-38,-87.0439,-87.0439,0.201362
1.58104e-38,-87.0402,-87.0402,0.365323
1.58692e-38,-87.0364,-87.0364,0.282088
1.59279e-38,-87.0327,-87.0327,0.272523
1.59867e-38,-87.0291,-87.0291,1.0424
1.60455e-38,-87.0254,-87.0254,1.04064
1.61043e-38,-87.0217,-87.0217,0.280204
1.6163e-38,-87.0181,-87.0181,0.773901
1.62218e-38,-87.0145,-87.0145,0.534406
1.62806e-38,-87.0108,-87.0108,0.574256
1.63394e-38,-87.0072,-87.0072,0.0941479
1.63981e-38,-87.0037,-87.0037,0.541462
1.64569e-38,-87.0001,-87.0001,0.493222
1.65157e-38,-86.9965,-86.9965,0.773137
1.65745e-38,-86.993,-86.993,0.393086
1.66332e-38,-86.9894,-86.9894,0.364822
1.6692e-38,-86.9859,-86.9859,0.30003
1.67508e-38,-86.9824,-86.9824,0.410038
1.68096e-38,-86.9789,-86.9789,0.517334
1.68683e-38,-86.9754,-86.9754,1.00034
1.69271e-38,-86.9719,-86.9719,0.086152
1.69859e-38,-86.9684,-86.9684,1.2254
1.70447e-38,-86.965,-86.965,0.0107654
1.71034e-38,-86.9615,-86.9615,0.183728
